Year,Month,Day,EnergyUse,Temp
2020,4,26,3381.84,47
2020,4,27,3528.42,44.8
2020,4,28,2335.2,50.9
2020,4,29,2363.34,52.8
2020,4,30,2093.7,59.3
2020,5,1,1491.42,60.7
2020,5,2,1306.2,61.4
2020,5,3,1178.94,65.3
2020,5,4,1549.38,62.4
2020,5,5,2083.2,51.5
2020,5,6,2845.92,48.1
2020,5,7,1784.16,54
2020,5,8,2889.18,48.1
2020,5,9,3522.96,39.3
2020,5,10,2343.18,48.8
2020,5,11,2440.2,49.8
2020,5,12,2094.54,50.5
2020,5,13,2039.94,51.4
2020,5,14,1839.18,57.8
2020,5,15,1817.34,71.7
2020,5,16,1467.06,70
2020,5,17,1334.34,59.8
2020,5,18,1178.52,58.7
2020,5,19,1157.52,57.9
2020,5,20,1357.86,52.7
2020,5,21,1706.46,56.2
2020,5,22,1820.7,62
2020,5,23,1323,65.1
2020,5,24,1118.04,58.3
2020,5,25,1160.88,62.4
2020,5,26,1541.82,66.9
2020,5,27,2016.84,68.6
2020,5,28,2468.76,71.3
2020,5,29,2466.66,74.8
2020,5,30,1598.94,72.2
2020,5,31,1077.3,62.6
2020,6,1,1315.86,59.9
2020,6,2,1560.3,63.1
2020,6,3,2009.28,70.9
2020,6,4,1907.22,76
2020,6,5,2596.86,73
2020,6,6,2019.36,76.4
2020,6,7,1367.94,69.1
2020,6,8,1382.22,67.5
2020,6,9,1859.76,73.6
2020,6,10,2362.92,78.4
2020,6,11,3013.08,75.4
2020,6,12,1610.7,75.2
2020,6,13,1117.62,66.4
2020,6,14,1082.34,62.9
2020,6,15,1306.2,64.3
2020,6,16,1349.88,65.2
2020,6,17,1711.08,65.9
2020,6,18,2084.46,68.6
2020,6,19,2053.8,72.9
2020,6,20,2003.4,71.9
2020,6,21,1846.32,73.3
2020,6,22,2216.34,77.9
2020,6,23,2508.66,79.1
2020,6,24,2090.76,78
2020,6,25,2135.28,74.3
2020,6,26,1823.22,74.2
2020,6,27,2054.22,73.4
2020,6,28,2044.14,78.6
2020,6,29,1849.68,78.4
2020,6,30,2074.38,73.5
2020,7,1,2085.72,72.8
2020,7,2,2187.78,79.1
2020,7,3,2385.18,82.1
2020,7,4,2389.8,77.4
2020,7,5,2180.22,81.6
2020,7,6,2777.46,76
2020,7,7,2640.96,76.9
2020,7,8,3009.3,77.4
2020,7,9,2721.6,79
2020,7,10,3200.82,74.2
2020,7,11,2484.72,79.1
2020,7,12,1897.98,79.9
2020,7,13,2284.38,76.7
2020,7,14,2100.42,76.3
2020,7,15,2379.72,74.5
2020,7,16,2236.08,71.9
2020,7,17,2595.6,76.8
2020,7,18,2081.52,81.4
2020,7,19,2490.18,82.8
2020,7,20,3000.48,85.1
2020,7,21,2734.2,83.2
2020,7,22,3113.04,80.2
2020,7,23,3132.36,77.9
2020,7,24,2927.82,75.6
2020,7,25,2299.92,77.9
2020,7,26,2346.12,82.4
2020,7,27,2621.64,83.9
2020,7,28,2983.68,85
2020,7,29,2586.36,82.4
2020,7,30,2835.42,82.7
2020,7,31,2661.12,75.4
2020,8,1,1992.9,78.7
2020,8,2,2570.82,82.9
2020,8,3,2820.3,81.4
2020,8,4,1707.72,74.6
2020,8,5,2422.56,78
2020,8,6,1258.32,72.6
2020,8,7,2718.66,71.8
2020,8,8,2361.24,74.4
2020,8,9,2476.32,77.1
2020,8,10,2756.88,80.8
2020,8,11,3178.98,80.1
2020,8,12,3492.3,78.4
2020,8,13,3157.14,75.2
2020,8,14,2421.72,77.1
2020,8,15,2104.62,73.3
2020,8,16,2194.92,68.8
2020,8,17,2014.74,70.6
2020,8,18,2023.56,72.9
2020,8,19,2306.22,69.8
2020,8,20,1805.58,70.1
2020,8,21,2235.24,73.3
2020,8,22,2362.92,77.7
2020,8,23,2573.34,75.3
2020,8,24,2827.44,78.6
2020,8,25,2869.44,79.4
2020,8,26,2030.28,72.7
2020,8,27,2730,78.5
2020,8,28,2687.16,75.1
2020,8,29,2782.92,74.5
2020,8,30,1806,70.5
2020,8,31,2194.92,67
2020,9,1,2275.14,71.2
2020,9,2,2827.86,75.9
2020,9,3,2760.24,78
2020,9,4,2179.8,75.3
2020,9,5,1452.78,68.9
2020,9,6,1611.54,70.1
2020,9,7,1666.14,70
2020,9,8,2179.38,71.3
2020,9,9,2859.36,72.6
2020,9,10,3047.94,75.8
2020,9,11,2679.6,72.7
2020,9,12,1460.76,64.3
2020,9,13,1921.5,68
2020,9,14,1809.36,68.7
2020,9,15,1463.7,56.3
2020,9,16,1746.36,58.7
2020,9,17,2138.64,65.5
2020,9,18,1628.76,64
2020,9,19,1416.24,52.9
2020,9,20,1525.86,52.2
2020,9,21,2278.08,52.5
2020,9,22,1938.3,56.5
2020,9,23,1672.02,65.2
2020,9,24,2042.88,63.6
2020,9,25,1678.32,63.9
2020,9,26,1754.34,67.1
2020,9,27,1836.66,70
2020,9,28,2116.38,72.3
2020,9,29,2361.24,68.7
2020,9,30,1533.42,62.7
2020,10,1,1601.04,61.3
2020,10,2,1572.06,57.6
2020,10,3,1785,54.1
2020,10,4,1865.64,54.9
2020,10,5,1713.6,57.8
2020,10,6,1661.94,57
2020,10,7,1607.76,64.6
2020,10,8,1509.06,57.6
2020,10,9,1696.38,55.7
2020,10,10,1496.46,62.3
2020,10,11,1645.98,62.1
2020,10,12,2245.74,53.6
2020,10,13,1960.98,57.4
2020,10,14,1922.76,56.9
2020,10,15,1856.4,61
2020,10,16,2278.92,55.5
2020,10,17,2435.16,49.5
2020,10,18,2473.38,49.1
2020,10,19,2136.54,56.4
2020,10,20,1817.76,61
2020,10,21,1908.48,63.5
2020,10,22,1968.12,64.6
2020,10,23,1808.52,63.9
2020,10,24,1794.66,61.8
2020,10,25,2997.54,46
2020,10,26,2385.18,55.4
2020,10,27,1888.74,56.5
2020,10,28,2365.44,54.5
2020,10,29,3171.42,51.1
2020,10,30,4434.78,43.2
2020,10,31,5099.22,37.8
2020,11,1,4140.78,46.2
2020,11,2,5021.1,40.3
2020,11,3,4096.26,45.9
2020,11,4,3297,48.7
2020,11,5,2525.88,52.7
2020,11,6,2063.04,55.2
2020,11,7,1885.8,58.7
2020,11,8,1944.18,58.1
2020,11,9,1971.9,58.5
2020,11,10,1966.44,60.3
2020,11,11,1862.7,64.2
2020,11,12,2592.24,55.2
2020,11,13,3214.68,46.8
2020,11,14,3630.48,45
2020,11,15,3250.8,48.4
2020,11,16,3489.36,48.8
2020,11,17,4899.72,39.7
2020,11,18,6318.48,32.6
2020,11,19,5783.82,35.4
2020,11,20,3536.82,49.4
2020,11,21,2905.98,53
2020,11,22,3524.64,48.6
2020,11,23,3126.48,51.2
2020,11,24,4541.88,41.6
2020,11,25,3709.44,46.2
2020,11,26,2158.8,57.1
2020,11,27,2835,51.4
2020,11,28,3399.9,47.7
2020,11,29,4194.54,42.1
2020,11,30,2905.98,55.2
2020,12,1,4076.52,44.2
2020,12,2,5425.98,37.4
2020,12,3,5252.52,39.4
2020,12,4,4600.26,43
2020,12,5,4826.64,42.2
2020,12,6,5732.58,35.8
2020,12,7,6257.16,31.5
2020,12,8,6348.72,32.9
2020,12,9,6445.32,32.5
2020,12,10,5115.6,39.8
2020,12,11,4662,40.7
2020,12,12,3887.1,46.5
2020,12,13,3205.02,49.9
2020,12,14,5719.14,38
2020,12,15,6654.48,32.3
2020,12,16,7730.94,26.8
2020,12,17,7520.94,28.8
2020,12,18,7615.44,27.3
2020,12,19,8028.3,23.5
2020,12,20,7026.18,30.6
2020,12,21,5782.56,35.8
2020,12,22,5359.62,39
2020,12,23,5594.4,36.7
2020,12,24,3596.46,51.3
2020,12,25,4349.94,45.2
2020,12,26,6900.6,25.5
2020,12,27,6603.66,27.9
2020,12,28,5288.64,38.5
2020,12,29,6242.04,34.6
2020,12,30,6588.12,32.3
2020,12,31,5190.36,42.4
2021,1,1,6618.36,32.9
2021,1,2,4928.28,41.9
2021,1,3,6322.26,34.6
2021,1,4,5622.96,37.5
2021,1,5,5751.06,37.4
2021,1,6,5981.64,37
2021,1,7,6219.36,35.1
2021,1,8,7126.56,29.8
2021,1,9,7046.34,32.3
2021,1,10,6321.42,33.9
2021,1,11,7128.24,29.4
2021,1,12,6561.66,31.9
2021,1,13,6016.5,34.8
2021,1,14,5563.32,37.3
2021,1,15,5243.28,40.4
2021,1,16,4546.5,42.1
2021,1,17,5627.58,38.6
2021,1,18,5351.22,39
2021,1,19,5935.02,35
2021,1,20,6319.74,32.8
2021,1,21,6682.2,30.7
2021,1,22,5812.8,38.3
2021,1,23,7144.2,29.6
2021,1,24,7558.32,27.2
2021,1,25,7111.02,30
2021,1,26,6765.36,32.7
2021,1,27,6663.3,33.6
2021,1,28,7632.66,27.5
2021,1,29,9072.42,21.7
2021,1,30,9080.4,24.1
2021,1,31,9690.66,22.9
2021,2,1,9315.18,27.7
2021,2,2,8321.04,31.7
2021,2,3,8339.1,31
2021,2,4,7355.04,33.4
2021,2,5,5754.84,38.8
2021,2,6,6166.86,36.8
2021,2,7,7129.5,31.9
2021,2,8,8759.94,21.7
2021,2,9,8158.08,26.2
2021,2,10,8024.94,26.7
2021,2,11,7790.58,27.9
2021,2,12,8647.38,23.9
2021,2,13,8369.34,26.6
2021,2,14,7555.38,30
2021,2,15,7151.76,32.7
2021,2,16,5497.38,39
2021,2,17,7245.42,26.4
2021,2,18,8116.08,25.1
2021,2,19,7465.08,29.1
2021,2,20,7523.88,28.8
2021,2,21,7810.74,27
2021,2,22,7001.82,31.3
2021,2,23,6108.06,38.9
2021,2,24,4593.96,44.1
2021,2,25,4651.92,43.5
2021,2,26,5210.1,38.3
2021,2,27,4873.68,40.8
2021,2,28,5297.88,39.5
2021,3,1,4612.44,41.2
2021,3,2,5927.46,28.9
2021,3,3,4905.18,38.6
2021,3,4,5144.58,37.2
2021,3,5,5950.98,29.8
2021,3,6,5720.82,32.8
2021,3,7,5032.86,32.6
2021,3,8,5095.02,33.1
2021,3,9,3551.52,48.5
2021,3,10,3258.78,47.4
2021,3,11,2073.54,55.7
2021,3,12,1785,60.7
2021,3,13,3293.22,42.1
2021,3,14,3146.64,44.6
2021,3,15,5631.78,31.8
2021,3,16,6347.46,33.3
2021,3,17,4924.08,39.6
2021,3,18,4391.1,43.9
2021,3,19,4866.96,40.2
2021,3,20,4427.64,42.3
2021,3,21,3926.58,46.5
2021,3,22,3711.96,46.2
2021,3,23,2748.9,50.2
2021,3,24,2915.22,51.4
2021,3,25,2304.12,55.8
2021,3,26,1343.16,65.4
2021,3,27,1312.92,57.6
2021,3,28,1772.82,56.1
2021,3,29,2971.08,48
2021,3,30,3022.32,48.7
2021,3,31,2361.24,55.7
2021,4,1,3567.9,44.7
2021,4,2,5177.76,33.9
2021,4,3,4186.56,39.4
2021,4,4,2744.7,52.5
2021,4,5,1791.72,56.3
2021,4,6,1652.7,56.9
2021,4,7,1868.58,54.9
2021,4,8,1646.82,55.7
2021,4,9,2054.22,51.6
2021,4,10,1602.3,58.6
2021,4,11,2164.68,54.7
2021,4,12,3481.38,46.5
2021,4,13,2211.3,52.4
2021,4,14,2106.3,54.9
2021,4,15,2239.02,53.6
2021,4,16,3126.9,45.7
2021,4,17,2956.8,48.5
2021,4,18,2177.7,53.5
2021,4,19,2173.08,53.7
2021,4,20,1667.82,59
2021,4,21,1942.08,53
2021,4,22,3306.24,40.8
2021,4,23,2360.82,49.3
2021,4,24,1777.02,56.6
2021,4,25,1774.5,54.8
2021,4,26,2129.82,50.7
2021,4,27,1853.04,56.9
2021,4,28,1590.96,69.9
2021,4,29,1948.8,68.9
2021,4,30,1210.02,61
2021,5,1,1193.64,52.5
2021,5,2,1152.06,66.9
2021,5,3,1624.14,61.5
