Year,Month,Day,NetEnergyUse,EnergyUseIn,EnergyUseOut
2020,4,1,2527.9,1087.07,-1440.83
2020,4,2,2991.56,1013.05,-1978.51
2020,4,3,1999.31,1139.37,-859.94
2020,4,4,1648.07,957.91,-690.16
2020,4,5,1791.74,879.81,-911.93
2020,4,6,3071.88,888.61,-2183.27
2020,4,7,2276.21,853.67,-1422.54
2020,4,8,2388.97,962.01,-1426.96
2020,4,9,1810.04,1031.98,-778.06
2020,4,10,2192.41,938.7,-1253.71
2020,4,11,3031.88,938.06,-2093.82
2020,4,12,2042.44,944.68,-1097.76
2020,4,13,1728.72,1661,-67.72
2020,4,14,2550.58,980.94,-1569.64
2020,4,15,3034.38,959.48,-2074.9
2020,4,16,2727.54,990.32,-1737.22
2020,4,17,2228.02,1131.19,-1096.83
2020,4,18,1410.56,1297.49,-113.07
2020,4,19,2969.8,993.19,-1976.61
2020,4,20,1770.96,947.55,-823.41
2020,4,21,2058.5,1084.84,-973.66
2020,4,22,3369.49,948.73,-2420.76
2020,4,23,2106.72,1147.24,-959.48
2020,4,24,1435.75,1408.35,-27.4
2020,4,25,2657.63,933.96,-1723.67
2020,4,26,1374.98,1370.89,-4.09
2020,4,27,1460.67,1120.15,-340.52
2020,4,28,2944.94,942.17,-2002.77
2020,4,29,1446.81,1039.83,-406.98
2020,4,30,1623.19,1513.9,-109.29
2020,5,1,1923.39,1005.47,-917.92
2020,5,2,3035.66,821.21,-2214.45
2020,5,3,2111.77,854.28,-1257.49
2020,5,4,2292.25,831.27,-1460.98
2020,5,5,2263.91,836.31,-1427.6
2020,5,6,1338.41,1269.12,-69.29
2020,5,7,3004.44,885.44,-2119
2020,5,8,1241.71,1128.95,-112.76
2020,5,9,2812.95,954.15,-1858.8
2020,5,10,3269.38,911.61,-2357.77
2020,5,11,2058.53,1116.68,-941.85
2020,5,12,2943.99,912.87,-2031.12
2020,5,13,2944.95,852.39,-2092.56
2020,5,14,2633.41,978.39,-1655.02
2020,5,15,2364.68,1010.18,-1354.5
2020,5,16,2698.31,859.66,-1838.65
2020,5,17,2154.28,809.54,-1344.74
2020,5,18,2217.59,868.14,-1349.45
2020,5,19,2645.98,822.14,-1823.84
2020,5,20,2289.44,819.64,-1469.8
2020,5,21,2686.64,837.26,-1849.38
2020,5,22,1685.9,1054,-631.9
2020,5,23,1657.48,1010.49,-646.99
2020,5,24,2453.85,890.18,-1563.67
2020,5,25,1918.35,888.92,-1029.43
2020,5,26,2474.31,927.03,-1547.28
2020,5,27,1917.07,1012.7,-904.37
2020,5,28,1382.55,1243.62,-138.93
2020,5,29,1582.54,1303.15,-279.39
2020,5,30,2371.62,939.63,-1431.99
2020,5,31,2611.68,864.37,-1747.31
2020,6,1,1989.53,937.75,-1051.78
2020,6,2,1629.15,1141.53,-487.62
2020,6,3,1787,1204.87,-582.13
2020,6,4,2047.49,1154.47,-893.02
2020,6,5,1824.46,1386.92,-437.54
2020,6,6,2036.44,1048.59,-987.85
2020,6,7,2449.72,888.26,-1561.46
2020,6,8,2237.38,932.05,-1305.33
2020,6,9,2107.64,982.48,-1125.16
2020,6,10,1846.86,1059.05,-787.81
2020,6,11,1686.15,1475.42,-210.73
2020,6,12,2286.88,1002.96,-1283.92
2020,6,13,2496.69,857.12,-1639.57
2020,6,14,2483.13,821.83,-1661.3
2020,6,15,2053.47,789.71,-1263.76
2020,6,16,2039.92,831.58,-1208.34
2020,6,17,1506.64,970.84,-535.8
2020,6,18,1643.08,1241.14,-401.94
2020,6,19,2091.92,1039.19,-1052.73
2020,6,20,1785.41,1063.43,-721.98
2020,6,21,2000.55,941.52,-1059.03
2020,6,22,1936.31,1099.03,-837.28
2020,6,23,1974.42,1150.06,-824.36
2020,6,24,2235.85,1075.7,-1160.15
2020,6,25,1634.52,1077.29,-557.23
2020,6,26,2060.41,1082.34,-978.07
2020,6,27,1629.46,1037.25,-592.21
2020,6,28,2091.27,979.95,-1111.32
2020,6,29,2159.31,981.22,-1178.09
2020,6,30,1827.98,1283.01,-544.97
2020,7,1,1871.4,1218.11,-653.29
2020,7,2,2277.15,1141.58,-1135.57
2020,7,3,1979.13,1072.25,-906.88
2020,7,4,2017.59,1142.52,-875.07
2020,7,5,2195.26,1014,-1181.26
2020,7,6,1931.26,1425.69,-505.57
2020,7,7,1881.48,1295.57,-585.91
2020,7,8,1937.91,1460.05,-477.86
2020,7,9,1911.43,1250.55,-660.88
2020,7,10,1823.84,1807.46,-16.38
2020,7,11,1623.78,1002.63,-621.15
2020,7,12,2346.14,960.43,-1385.71
2020,7,13,2052.23,977.15,-1075.08
2020,7,14,2102.96,1006.45,-1096.51
2020,7,15,1881.47,1145.31,-736.16
2020,7,16,1566.15,1022.16,-543.99
2020,7,17,1591.43,1142.53,-448.9
2020,7,18,2269.29,996.05,-1273.24
2020,7,19,2107.35,1024.05,-1083.3
2020,7,20,1817.88,1165.51,-652.37
2020,7,21,2034.25,1202.96,-831.29
2020,7,22,2238.05,1278.55,-959.5
2020,7,23,1750.4,1392.58,-357.82
2020,7,24,1459.69,1433.55,-26.14
2020,7,25,1826.33,1087.35,-738.98
2020,7,26,1677.69,1032.26,-645.43
2020,7,27,1493.06,1135.86,-357.2
2020,7,28,1668.54,1337.17,-331.37
2020,7,29,1620.99,1185.02,-435.97
2020,7,30,1572.8,1333.39,-239.41
2020,7,31,1443,1301.24,-141.76
2020,8,1,1632.3,1077.57,-554.73
2020,8,2,1666.36,1229.13,-437.23
2020,8,3,1650.92,1279.84,-371.08
2020,8,4,2080.92,1578.49,-502.43
2020,8,5,1736.88,1064.68,-672.2
2020,8,6,1776.28,1333.7,-442.58
2020,8,7,1473.87,1396.71,-77.16
2020,8,8,1309.45,1008,-301.45
2020,8,9,1578.13,1059.97,-518.16
2020,8,10,1606.17,1196.03,-410.14
2020,8,11,1548.23,1239.85,-308.38
2020,8,12,1715.46,1603.96,-111.5
2020,8,13,1532.15,1528.37,-3.78
2020,8,14,1506.33,1058.1,-448.23
2020,8,15,1465.4,1068.49,-396.91
2020,8,16,1402.37,1301.57,-100.8
2020,8,17,1785.05,1193.81,-591.24
2020,8,18,1685.88,1139.36,-546.52
2020,8,19,1461.61,1258.13,-203.48
2020,8,20,1568.41,1032.92,-535.49
2020,8,21,1489.66,1129.92,-359.74
2020,8,22,1656.91,1095.26,-561.65
2020,8,23,1437.33,1159.2,-278.13
2020,8,24,1536.56,1242.98,-293.58
2020,8,25,1523.94,1190.05,-333.89
2020,8,26,1615.31,1115.39,-499.92
2020,8,27,1587.61,1291.2,-296.41
2020,8,28,1660.07,1239.53,-420.54
2020,8,29,1318.62,1204.9,-113.72
2020,8,30,1609.97,958.54,-651.43
2020,8,31,1249.9,1227.53,-22.37
2020,9,1,1416.56,1373.71,-42.85
2020,9,2,1507.9,1428.52,-79.38
2020,9,3,1534.34,1266.9,-267.44
2020,9,4,1582.86,1016.5,-566.36
2020,9,5,1739.73,923.24,-816.49
2020,9,6,1648.07,964.84,-683.23
2020,9,7,1730.89,963.25,-767.64
2020,9,8,1498.14,1140.93,-357.21
2020,9,9,1481.73,1466.31,-15.42
2020,9,10,1495.61,1477.97,-17.64
2020,9,11,1550.74,1511.99,-38.75
2020,9,12,1923.36,961.36,-962
2020,9,13,1265.67,1061.26,-204.41
2020,9,14,1351.94,1083.9,-268.04
2020,9,15,1322.08,985.02,-337.06
2020,9,16,1269.77,1016.84,-252.93
2020,9,17,1199.18,1154.77,-44.41
2020,9,18,1279.52,955.39,-324.13
2020,9,19,2206.27,897.12,-1309.15
2020,9,20,2144.81,898.68,-1246.13
2020,9,21,1513.24,972.4,-540.84
2020,9,22,1539.73,1027.54,-512.19
2020,9,23,1456.55,1024.69,-431.86
